[委員長] act: action_item | stance: neutral | importance: low | text: ちょっと待って 事務方がはい 次に岸真彦さんの質疑を行います 岸真彦さん立憲民主無所属会派の岸牧子です 委員の皆さんにはお手元に資料で配布しておりますが週刊文春 が無料公開しております高市総理の陣営が総裁選でライバル候補 を抽象する動画を大量に拡散していたことが掲載しています 1日100本の抽象動画を拡散しておりましてサムレイルやタイトル も出ておりますが読むと結構広いものが本当に広いものが出ております さらには総理の公設第一秘書と動画作成の主力を担う松井さん とのメッセージのやりとりも掲載されております例えば資料の2枚目の下段の真ん中あたりにありますが9月23日にスイキシグナルという人癖の高い通信アプリで真実の政治の動画をこれからアップしてカウントを送付いたしますと松井さんと公設第一秘書の動画のアップを伝えるやりとりのメッセージも公開されているところでございます総理これは事実かどうかお答え願いますご視聴ありがとうございました松井さんと公設第一秘書の動画のアップを伝えるやりとりのメッセージも公開されているところでございます総理これは事実かどうかお答え願います
[高市さなえ] act: concern | stance: negative | importance: high | text: 事実ではございませんまず総裁選挙において他陣営の候補者を誹謗中傷したりしたことは私の陣営ではございませんこれは地元の事務所国会事務所私自身だけでは なく国会議員によって応援していただいたチームにおいても他陣営 でこれも週刊誌の記事ですから全く信用していませんけれども ステマ問題とちなみにこのことじゃないです他陣営で例えば例えばステマ問題というのがあったときにそのときにも絶対に自分の候補者の政策を訴えても他の候補者を批判するということは同じとですからこれはやるべきじゃないというそういう通知が回っていて国会事務所でも地元事務所でも確認をしております 決してこれは私どもの事務所ではやっておりません 岸真紀子さん総理御自身はやっていないという のはそれはそうだと思うんですがもう一つ総理はこの間の国会答弁 で公設大使秘書と松井さんとの関係はないとおっしゃってきましたが昨日の衆議院予算 委員会でも取り上げましたオンライン会議の音声データでは公設第一秘書 と松井さんのやりとりが残っています文春にも御開拓をいただきまして 総理に音声データを聞いてもらうように事前で区でお願いをしている ところですこちらはお聞きいただけましたか 中市内閣総理大臣提供のあったリンクですね動画 を昨夜遅く確認をいたしました昨日文字起こしで確認したもの と内容は同じでしたが内容は広く国民の声を聞くためにはどうしたら いいかといったものでございました週刊誌で先ほどからおっしゃっているような総裁選で他候補を批判する動画の作成に関するものではなくそもそも12月と紹介されていましたので私のことを総理と表現している内容でしたのでこれは総裁選とは全く関係ないはずですね総裁選もう終わっていますから だからそれはちゃんと聞かせていただきました松井さんと会社がやりとりしているお店が確認してくださっていったらこれが会社と会社さんのやりとりですかというような質問ですもう一度それがおかしいんだったら総理としての考え方というのは今の答弁でそれを追及するのもずれているというのも質問者がやることではない森本さんいいいいいいいいいいいいいいいい誘導されるようなことをやらずに森本さんが引き取ってはい岸真彦さん内容ではなくて公設秘書の声かどうかというのをお聞きしているんですこれは本人にも確認したかどうかお聞きします
[高市さなえ] act: explanation | stance: neutral | importance: low | text: ご視聴ありがとうございました内容ではなくて公設秘書の声かどうかというのをお聞きしているんですこれは本人にも確認したかどうかお聞きします
[高市さなえ] act: explanation | stance: neutral | importance: medium | text: まず秘書本人かどうかあのような音声をもとに判断することは難しいございます途中で委員はお聞きになったかどうか分かりませんが途中で登場するaiさなえという音声ですがそれは明らかに私の声でしたが私の発言や発音と違いますで、ヒッシャーの話を聞きました。
[委員長] act: question | stance: positive | importance: high | text: になったかどうか分かりません が途中で登場するaiさなえという音声ですがそれは明らかに私の 声でしたが私の発言や発音と違います秘書のものとされた音声も私と 会話しているときよりもかなり高い声ではきはきとしゃべって いったので違和感がありましたいずれにしてもやりとりの内容 について他候補を批判するものでもないですしこれはどう考えても確認のしよう がございませんはい木島彦子さん 総理きっとそうやってaiというふうに言うだろうなという考え はありましたそこで次に確認させていただきます が週刊現代が高市事務所へ紹介をしておりまして4月3日付で回答があったとされた記事も載っております高市事務所からの回答に12月17日のオンライン会議はノーボーダー側からの求めに応じて行ったものとありますこれは高市事務所で回答したものでそして12月17日のオンライン会議を行ったということでよろしいでしょうか
[高市さなえ] act: question | stance: positive | importance: high | text: 週刊誌にうちから回答したと書かれてあるんでしたらお疲れ様でしたでよろしいでしょうか
[高市さなえ] act: answer | stance: neutral | importance: high | text: 週刊誌にうちから回答したと 書かれてあるんでしたらうちから回答したのかと思います ただ何日の話とおっしゃいましたか4月3日付の回答については内容が事実と違うと今朝聞きましたはい岸真紀子さんすいません4月3日付で回答があって12月7日のオンライン会議を行ったという中身なんですがその事実確認しましたかはい
[高市さなえ] act: question | stance: neutral | importance: high | text: 昨日の夜中から今朝までかけて4、5回かけて野党秘書を捕まえましたそして週刊誌の記事そのものは彼は読んでなかったので私が電話口で読み上げました4月3日付の回答とされる内容は事実と違うと申しておりましたはい岸真彦さん事実が違うというのもちょっと おかしな話なんですがまさに音声データは12月17日のオンライン 会議のものなんですよ総理も確認いただいた12月17日の回答書では 行ったとしているので総理の秘書と松井さんは関係があったということ になります総理自身は接点がなかったとしても公設秘書が接点を持って いたりとなると総理がこれまで次の動画でお会いしましょう総理の秘書と松井さんは関係があったということになります総理自身は接点がなかったとしても公設秘書が接点を持っていたりとなると総理がこれまで説明したことと国会で説明したことと異なってきますお忙しいのは分かりますがこれ当事者にきちんと確認していただけましたでしょうか
[高市さなえ] act: answer | stance: neutral | importance: high | text: 私はこれまで国会で私も秘書も今 もう実名を出されましたからあえて申し上げますが松井という方と 面識がないと申し上げてまいりましたなお会いしたこともございません 名刺を交換したこともありませんそれは事実です岸真紀子さん総理はなんですが松井さんは オンラインで会っていますよねオンラインでしょあ秘書間違ったはいどうぞ公設秘書と松井さんは オンラインで会っていますよね
[高市さなえ] act: action_item | stance: neutral | importance: high | text: 非常に多くのオンライン会議が ありますのでその松井という人かどうか分りませんけれども1つ確認できた のはある団体からお誘いで参加したリモート会議で国民の政治 に対する声を集めることを検討しているということについて紹介 があったということは確認をいたしておりますただその内容の説明をした人の苗字に関してはおそらく報道されている方とは違う苗字の方から説明を受けたんだと思うということでございました岸真紀子さんそうなるとですね総理この前この間ずっと国会で答弁したことと異なりませんかどんどん変わっている
[高市さなえ] act: question | stance: neutral | importance: high | text: 全く異なっていないと思うんですはい御静粛に岸真紀子さん松井さんと公設大臣氲は接点がないと言ってきたんですよねそれが違うんじゃないですかということと相違がありませんか
[高市さなえ] act: answer | stance: neutral | importance: high | text: まず面識がないと申し上げましたそしてインターネット上で何らかのやりとりがあったかどうかについてはうちの事務所では記録がないと非常に膨大な数があるから分からないといつ誰とどういうことをやったかというのは分からないその胸の胸の胸の胸の胸の胸の胸の胸の�
[高市さなえ] act: question | stance: positive | importance: high | text: 面識というのは普通ちゃんと相手とお会いして相手が本当にそういう名前の人であるのかどこに所属されている方であるのかそういったことが確認できるそういうことだと思います岸井真希子さんもうお諮問になっているんですが公設大使秘書と松井さんは対面では会っていないけれどもこの間やりとりしてきた 事実があるこれはお認めいただけますか
[高市さなえ] act: question | stance: neutral | importance: high | text: そのやりとりをしてきたことを 私が認められるかといったらそれは分からないということでございますこれまでも確認はしてまいりましたそしてちゃんと昨日おっしゃった通り私はオンラインの音声を聞きましたそこでまず声が不自然だと感じたこと私自身の声がAIでこんなふうに使われるのかと思ったことそしてそこでまず声が不自然だと感じたこと私自身の声がaiでこんなふうに使われるのかと思ったことそしてそこでやりとりがあったとしても内容が全く総裁選挙と関係ない国民の声を聞く方法についての話だったというところまでしか確認できておりません岸希子さん 今まで総理は秘書を信じていますと言って名識がないと要は言って きたんですよただこの公開記事及び音声データは事実を裏付けて いますよね松井さんが正しくって秘書が誤っていたということになりませんか 松井さんの信憑性の方が高くなりませんか
[高市さなえ] act: question | stance: neutral | importance: low | text: ご視聴ありがとうございました秘書が誤っていたということになりませんか松井さんの信憑性の方が高くなりませんか
[高市さなえ] act: question | stance: neutral | importance: high | text: 私がお会いしたこともないそしてどういう方かも知らない本名かどうかも分からないその松井さんという人とうちの秘書どちらが信憑性があるかといったら私は長年一緒に働いた秘書を信じます石島彦さん何も答えていないんですよ高市総理の秘書が関わって作成した主な動画には今年2月の衆議院選挙でもネガキャン動画を依頼するやり取りがされたとなっています他人営に対する動画です寝かけらの動画しかも投開票の日から 1日明けた2月9日午後1時頃公設第一秘書は松井さんへのお礼 のメッセージを送ったとされ配付資料にも載っております そのメッセージも公開されています総理このメッセージのやり取り は確認しましたかこれは事実でしょうか
[高市さなえ] act: question | stance: positive | importance: low | text: そもそもこれまでの衆議院選挙においてもそうですが今回の衆議院選挙においてもそうですが対立候補を批判したり他党の候補者に対して人格を批判したりそういったことは決して私はやりませんし私の秘書も陣営もやりません長年の私の政治スタイルやがりだったんですけど ちゃんと確認したことができる本人の考えではなくて ちゃんと確認していく普通があるんだ 何でどう思うこれって あっちのマイクが広がるじゃんネットは自然な感じができるご視聴ありがとうございましたはい岸真彦さん総理今の答弁は確認をしていないということですかねということであれば確認をしてください いかがですか高市早苗内閣総理大臣何を確認するんでしょうかこれまでの国会答弁でも例えば総裁選挙や衆議院選挙において他の候補者の人格を攻撃したり貶めるような動画を作ったりそれを発信したり拡散をしたりそれを誰かに頼んだりといったことはしていないよねということでご視聴ありがとうございましたるような動画を作ったりそれを 発信したり拡散をしたりそれを誰かに頼んだりといったことは していないよねということで確認をした上で絶対にうちの陣営では していないということを答弁しているわけでございます杉尾委員言葉を慎んでください静粛によろしいですかはい岸真彦さん総理がおっしゃっていることは要はこの記事が信憑性がないから非常に確認しないということですかこの記事自体をだから2月9日午後1時頃の公設第一秘書との松井さんのお礼のメッセージを信憑性がないから確認しないということですか
[高市さなえ] act: answer | stance: neutral | importance: low | text: どのメッセージのことをおっしゃ っていますか信憑性がないから確認しない いや今まで確認をしてきていますよ確認をしてきた上でそののような記録もないし事実がないということを私は答弁しております信仰のことがきちんと出てるんだからこれについて信仰性がないから確認しないんだというそうですこれまたしてきたそうしてきたでしょ4ページ目の質問は何かしてくるんですかすいませんお願いします聞いたんですよ聞いたんだけど聞いたんだけど総理は全然それと違う最初の話に戻ったじゃないですか最初の話にどうしたのガクちゃんちょっと総理ともう一回もう一回はいでは以上で終わりますはい岸真彦さん配付資料の4ページの上の右側の上を見ていただきたいんですこのメッセージがこの記事が出たので改めてこれが事実か確認しましたかというふうに聞いていますこれは捏造になるのかそれとも秘書が言っていることがどうなのかというのを確認させてもらっています
[高市さなえ] act: explanation | stance: neutral | importance: low | text: ご視聴ありがとうございました。
[高市さなえ] act: explanation | stance: neutral | importance: medium | text: というふうに聞いています これは捏造になるのかそれとも秘書が言っていることがどうなのか というのを確認させてもらっています
