[委員長] act: question | stance: neutral | importance: low | text: 以上で終わります大丈夫かな大丈夫ですかはい次に山本太郎君の質疑を行います山本太郎君令和新選組山本太郎です資料35総理はトランプ大統領とは極めて 良好な関係とお聞きしております直接会って感じたエピソードなど 聞かせていただいていいですか
[高市さなえ] act: answer | stance: neutral | importance: low | text: 首脳会談の前にトランプ大統領が野球を見ておられて一緒に見よう ということでちょっと首脳会談ご視聴ありがとうございました首脳会談の前にトランプ大統領 が野球を見ておられて一緒に見ようということでちょっと首脳会談 の開始が遅れたんですけれどもそのときに大谷翔平さんがもう すぐ出るぞ打つぞということでえらい期日こってくれはる人やな と思いました山本太郎君トランプ関税交渉で合意したのが 80兆円もの台米投資だったとご視聴ありがとうございましたしてやなと思いました 山本太郎君トランプ関税交渉で合意したの が80兆円もの台北投資だったと日本が出資をしてアメリカのエネルギー 半導体など有望なプロジェクトに投資をする仕組みであると この台北投資を日本側のビジネスチャンスにつなげていくんだという 総理の意気込みをお聞かせ 願いますかまず事務方はいじゃあ
[高市さなえ] act: decision | stance: positive | importance: high | text: 特に日米両国で経済安全保障重要なエネルギー半導体などの分野 におけるサプライチェーンを構築できるということとそして私自身 がトランプ大統領と会談したときに合意をしたのですが日本にとってレアアース などの重要鉱物非常に重要でございますこれを合同一緒に開発していける ということは我が国の自立性経済安全保障に資するものだと考えて おります山本太郎君経産省対米投資80兆円で出出資した日本側のリターンについて覚書 のみな支配分額と日米が一対九とされる部分説明を
[赤澤経産大臣] act: decision | stance: negative | importance: low | text: これは内閣官房のホームページ にアップをしてあるもういう了解覚書に書かれていることでありますが日本が財政的な支援をしますアメリカ側がいろいろな現物出資みたいなもので貢献しますがまず日本側が出した支援について全体を有志とみなしてそれについて の元本金利また日本側が提供する融資保証であれば保証料そうい ったものがきちっと回収されるまでは日米間の利益の配分という か得られた金銭的な価値についての配分は5050とそれを超えてから についてはこれアメリカ側のいろいろな貢献ですね連邦の土地をリース したりあるいはエネルギー水ご視聴ありがとうございましたそれを超えてからについてはこれアメリカ側のいろいろな貢献ですね連邦の土地をリースしたりあるいはエネルギー水電気そういったものの提供あるいはオフテイク買い取ることについて最大限努力するとかさらには規制についても迅速に対応するというようなことアメリカ側の貢献を踏まえて9対1日本側から見れば1対9といったような配分割合になっております山本太郎君はい資料36今の説明で国民の多くの方々が理解できたと言うとちょっと難しいかなと思います簡単に言うとそもそもこの問い決めで80兆円ものお金を出すのは日本だけ資料3738日本側の出資は80兆円日本側は元出が取れるまでプロジェクトからの利益の取り分がなぜか50%残りの50%は金を出していない米国が召し上げるそうなると日本の80兆円を回収するためにはその倍の160兆円を稼がないと元取れないしかも日本側が80兆円の元出が取れた 後は日本の取り分は10%に激減90%をアメリカに差し上げる約束 なんですねこれを政府はビジネスチャンスなどということで呼んでいる とこれただの大本円発表じゃないですかこの取引は関税でアメリカに脅されて巨額の身 時間これは巨額の見かじめ料を支払されているのと私同じだと思 っています日本政府や金融機関から80兆円もアメリカに流し込む が日本国民にとって利益にならないんじゃないですか80兆円の投資先 のプロジェクトでは日本企業も受注したり製品を輸出できるというふうに言うんですけれど アラスカのlng巨大投資プロジェクトに参加できるのってこれ一部の 大手企業だけになりません日本の中小企業にも国民にもビジネス チャンスなんてないですよさらに日本国民には80兆円ものアメリカ への投資で悪いツケが回される悪い円安の加速です資料39財務省 円ドルの変動はどんな要因で決まります以上で終まります か財務省財務省尾形国際局長お答えいたします 為替相場は多様な要因を背景に市場において決まるものであるため 特定の因が為替相場に与える影響を一概に申し上げることは困難でございますが一般論として申し上げますと為替相場は内外金利差などを含む様々な要因の影響を受けるものと理解しておりますはい山本太郎君円が売られるかどうかの予想や日米の金利差つまりは日米の景気の差が為替に影響するという話なんですよね簡単に言うと投資家などからすれば円とドルならドルを持った方が儲かるから円は売られてドルが買われてこれ円安になるとではアメリカ様のためにこれから3年間日本が80兆円相当のドルを調達する行為とアメリカ国内での80兆円規模の投資が進むの為替はどうなりますかねこれ次の動画でお会いしましょうこれから3年間日本が80兆円相当のドルを調達する行為とアメリカ国内での80兆円規模の投資が進むの為替はどうなりますかねこれこれいくら言い訳してもね何らかの円をドルに変える流れが予想されてまたアメリカに80兆円これ5500億ドル分のお金が注ぎ込まれてインフレによる日米金利差の拡大が予想されればこれ円安加速するんですよね円安を 心配している人たちいますよ立憲民主党とかだったらこの80兆円 の投資こそ阻止するべきじゃないですかここをスルーして日本の 金利を上げろなどありえませんよ日本は景気も良くなってません よまた金利上げようとしている絶対にだめですです中傷がどんどん潰れる小手先ではなくまずは日本の景気を根底から引き上げる施策を強力に打たなければお話になりません高市政権では国内にしっかりと底上げ策を打つ気があるのかなチェックしますまず国内の状況資料4142東京商工リサーチ調査 昨年の全倒産件数ははいちょっとお待ちください坂本 さんだったよね中小企業庁坂本事業環境部長 東京商工リサーチによれば2024年における倒産件数は1万6件と指摘されております山本太郎君昨年の倒産件数過去最多を記録した分野はいくつですかはい坂本部長帝国データバンク東京商工リサーチ によれば2024年の倒産件数が期間の区切りあるものを含め過去最多 と指摘された事業分野の数は32であると承知しております 資料4546今年はどうなっているか帝国データバンク2025年度上半期期倒産件数は全体で何年連続の増加か 年米数でお願いしますはい坂本部長すみません帝国データバンクによれば2025年度上半期までで年度の上半期としての倒産件数は4年連続で増加をしております山本太郎君今年度上半期不況型倒産が倒産全体に占める割合ははい坂本部長2025年度上半期におきまして帝国データバンク東京商工リサーチがそれぞれ定義をします不況型倒産は倒産件数全体に占める割合につきましては帝国データバンクで83.1%東京商工リスーチで85.3%と指摘をされておりますはい 山本太郎君バタバタつぶれまくっている 国民生活はどうか資料22 昨年の国民生活基礎調査で 生活が苦しいと回答した割合それぞれの世帯では原口厚生労働省生活統括官 お答えいたします2024年国民生活基礎調査では暮らし の状況を総合的に見てどう感じているかという生活意識を調査しており生活が苦しいと答えた 割合は全世帯で58.9%高齢者世帯で55.8%児童のいる世帯で64.3%になって ございます山本太郎君 国民の約6割が生活が苦しいと言っている 資料2696年と2024年国民生活基礎調査所得の中央値ははい原口統括官お答えいたします国民生活基礎 調査において把握している所得の中央値でございますが1996年の 調査結果によりますと1995年は550万円2024年の調査結果によれば2023年 は410万円となってございます山本太郎君 30年の間に所得の真ん中の値が140万も下がっている国って日本 だけなんじゃないですか資料272022年国民生活基礎調査貧困率全体高齢者一人親では原口統括官お答えいたします2024年国民生活基礎調査によれば令和3年の相対的貧困率でございますが全体が15.4%ご視聴ありがとうございました2024年、国民生活基礎調査によれば、令和3年の相対的貧困率でございますが、全体が15.4%、65歳以上の高齢者の貧困率は20.0%、一人親世帯の貧困率は44.5%となってございます。
[赤澤経産大臣] act: explanation | stance: neutral | importance: low | text: 宮本太郎君。
[赤澤経産大臣] act: explanation | stance: neutral | importance: low | text: 国民生活、完全に底抜けているんですね。
[赤澤経産大臣] act: explanation | stance: neutral | importance: low | text: 資料49。
[赤澤経産大臣] act: explanation | stance: neutral | importance: high | text: 総理は物価高により厳しい状況にある生活者を支援すると ご発言この思いについてお聞かせ願いますか総理はい
[高市さなえ] act: question | stance: neutral | importance: low | text: 物価高で非常に生活が厳しいそうおっしゃるお声が多くございますので今般の補正予算案を提出いたしましたその中には物価高対策たくさん入ってございます山本太郎君今回の補正で国民に直接お金がいくらぐらい届くんでしょうか資料48例えばお米券など1人当たり3000円米5キロスーパーでの販売平均価格はご視聴ありがとうございましたがいくらぐらい届くんでしょうか 資料48例えばお米券など1人当たり3000円米5キロスーパーでの販売 平均価格ははい参考人はい農林水産省山口 農産局長お答え申し上げます12月12日に 公表した12月1日から12月7日までの全国約1000店舗のスーパーでの販売データに基づく米の平均小売価格は1000枚5キロあたり4321円となっております山本太郎君5キロのお米も買えない支援って一体何なんでしょうね地方重点支援交付金では1世帯あたり1万円ほどの補助だとか 3ヶ月間の電気ガス代支援は標準的世帯で7000円単身世帯は金額 これもっと下がりますよね子ども1人当たり2万円の給付子どもが いない世帯働けない世帯では今回の手当てって1万円と少し程度 じゃないですか国民生活の求情と打つべき施策全く見合っていないんですよ 資料3中小小規模事業者への賃上げを強力に後押しすると御発言されて きたのが総理大臣です総理の中小地域企業への思い聞かせていただけ ますか
[高市さなえ] act: answer | stance: negative | importance: low | text: 中小企業小規模事業者の中には 賃上げ税制を活用できないつまり赤字の状況の事業者がいる その方々に何とか手当てをしたいということで赤字の企業でその 税制が活用できないところに地方地方公共団体から補助金を出していただくそのようなメニューを用意いたしました山本太郎君はい資料5総裁選でもですねその思いを語られてるんですね中小企業の賃上げ環境をつくると意気込みを語る中で総理は群馬大分の取り組みを評価されました内閣府総理が評価した群馬の事例 他の自治体の同様の事業と比較してどんな点が評価が高いと考えますか内閣府松川新次地方創生推進室 次長お答えいたします 重点支援庁交付金を活用した事業につきましては内閣府といたしましては 物価高対策に資するものかどうかご視聴ありがとうございましたお答えいたします重点支援庁交付金を活用した事業 につきましては内閣府といたしましては物価高対策に資するものかどうか 等の観点で審査をしてございまして他の自治体の類似事業と比較をして 優劣を判断しているものではございませんけれども今般の経済対策におきまして 賃上げ促進税制を活用できない赤字の中小企業等に対しても賃上げ を可能とする環境を整備するとご視聴ありがとうございましたも今般の経済対策におきまして 賃上げ促進税制を活用できない赤字の中小企業等に対しても賃上げ を可能とする環境を整備するということとされていることに鑑みまして御 指摘の事業についてはそうした観点も含めて本交付金を活用している 事例であると認識してございます山本太郎君 評価の具体的な内容を聞きたかったんですけれども打ち合わせでは 知らないと言っていましたよ経産省に聞いてもこれ知らないと言ってたんです群馬大分に注目をされた総理の理由って何ですかね総理はい
[高市さなえ] act: question | stance: neutral | importance: low | text: 重点支援地方交付金を活用して企業への補助金の形こういったものを企画されている地域として例に挙げさせていただきました山本太郎君だったら群馬を置いただけじゃないですよねそれ以外の地域もあるんじゃないですか資料6、7総理が評価された今年7月より開始群馬賃上げ促進支援金でどれだけ賃上げが進んだか群馬県における最新の中小企業数はご視聴ありがとうございました総理が評価された今年7月より開始、群馬賃上げ促進支援金でどれだけ賃上げが進んだか。
