[委員長] act: explanation | stance: positive | importance: low | text: 質疑は終了いたしましたはい よろしいですか次に
[委員長] act: action_item | stance: neutral | importance: high | text: の質疑を行います
[奥田文夫] act: explanation | stance: neutral | importance: low | text: ちょっとすいませんすいませんはいすいません
[奥田文夫] act: question | stance: negative | importance: high | text: 令和新選組奥田文夫です今日も未来世代の子どもたち春休みなんでたくさん傍聴に来ています全ての子どもたちそして全ての国民を貧困に陥らせない飢え死 にさせないそれが政治の務めですなぜこんなに一生懸命働いても お金の心配ばかりしなきゃいけないのなぜ物の値段は上がっている のに収入が上がらず生活苦しくなるの何が理由だろうと掘り下げ ていったら政治でした経済の切り盛りのプロと思い込んで いた国会議員たちがこの国の経済を破壊し続けているのではない かと思って子どもたちの未来を守るために大人の財布に入っている お金を増やさなきゃと思い3人の子どもの母親が国会議員になりました 先週も地元のスーパーに行きました主食の米2年前は1980円だったもの が今4300円ですよ2倍以上上がったまんまいまだに下がらない異常 でしょこれそんな国他にありますか総理先進国で38カ国が集まったOECDの中で 実質gdpの伸びが過去30年で一番低い国はどこか教えてください
[高市さなえ] act: answer | stance: neutral | importance: high | text: OECDのデータによりますと oecd加盟38カ国で比較可能な1995年から2024年までの実質gdp成長率が最も低い国は我が国でありますはい
[委員長] act: concern | stance: negative | importance: low | text: 驚きです こんなに日本政府は頑張っているのになぜ最下位一方社会保険料の財源といって37年前から消費税を4回も上げていますが景気が悪いのに政府は消費税を上げ続けさらに輸入による物価高で社会保険料の国民負担が増えるばかりこのように国民には増税ばかり繰り返していますが総理悲願の減税いつですか総理発言の前にしばらくお待ちくださいご視聴ありがとうございましたように国民には増税ばっかり繰り 返していますが総理悲願の減税いつですか 総理発言の前にしばらくお待ちください先ほどの奥田君の発言中に不適切 な現事があるとの御指摘がありました
[委員長] act: explanation | stance: neutral | importance: medium | text: といたしましては御国理事会 にて即記録を調査の上適切な処置ををとることといたします
[高市さなえ] act: decision | stance: positive | importance: high | text: 食料品の消費税率ゼロについては 先の総選挙においてその実現を目指して自民党の政権公約これは 討議決定も行ったものですがそこに記載をしておりその実現にに向けて強い思いを持って取り組んでまいります ただこの食料品の消費税率ゼロについては党派によってその御 主張が様々ですから実施に向けて検討すべき諸課題があるという 指摘も数多くいただいています消費税率こうした諸課題について 超�派で行う社会保障国民会議で議論を行い具体的な実施 時期を含めて結論を得ていこうとしている段階ですから現時点 で結論を先取りすることはいたしませんその上で各党の皆様の御協力を 得られましたら夏前には社会保障国民会議で中間取りまとめを行い 政府としては必要な法案の早期提出を目指してまいります
[奥田文夫] act: question | stance: negative | importance: high | text: 政理総理先進国で最も経済衰退 しているのがこの日本です減税政策が本当に生ぬるいしょぼい です人殺しの武器器を作ったり買ったりするために これから10年先まで防衛特別所得税は速決また増税決めたんじゃない ですかなぜ増税策はスピーディーに決めるんですか中学の公民の 教科書にも書いてある景気が悪いときには国民に対して増税はして はいけないむしろ国民には減税給付金も出す国民が物を買う力を政府が保障すること で景気が回り出すだってgdpの5割強が個人消費子供にでも分かる 経済の基本では自民党一体どこに積極的に減税してきたんですか お尋ねします法人税何回減税しましたか
[小泉信二郎] act: answer | stance: positive | importance: high | text: 先ほど防衛の関係で人殺しという 言葉がありましたがその言葉は看過できません 日本を守っている自衛隊そして防衛力を整えることは地域の平和 と安全を守るためにやっておりますそういったことに対してただいま の発言を防衛大臣として看過するわけにはいきません
[委員長] act: explanation | stance: negative | importance: low | text: 委員の御通告は消費税が導入された 併用金融資料金融資料金融資料金融られたかということと伺っておりますが平成元年度 平成2年度平成10年度11年度23年度平成272830年度の計8回引き下げておりますはいしばらくお待ちください先ほどの奥田君の発言中に不適切な現事があるとの御指摘がありました
[委員長] act: explanation | stance: neutral | importance: medium | text: といたしましては先ほどの件と合わせて5国理事会において即記録を調査の上適切な処置を取ることといたします
[委員長] act: concern | stance: negative | importance: high | text: 8回も法人税減税 庶民には全く恩恵のない法人税なぜ大企業ばかり8回も減税し 庶民には増税ばかりし続けるんですか大企業からもらっている企業献金 と組織票の御恩返しですかしかも今回の総理訪米の際に アメリカには積極的に11兆円も差し出す約束までしてその11 兆円があれば全国民に10万円程度の現金給付ができるそれくらい 今すぐやらないといけないんですだってoecd再開なんですから総理3月11日朝地元福岡県糸島市のガソリンスタンドで見たときには156円だったレギュラー ガソリン夜182円にもなっていました目を 疑ってブレーキ踏みました実に1日で26円も値上がりこんな変動 生まれて初めてしかも190円超えるという過去最高値もつけた緊急 事態なんです今こそガソリン税経由引取税をゼロにしなきゃゼロ にすればリッター25円下がり消費税廃止にすればさらに19円合計50円の 軽減多くの国民生活救われるんですこれこそ今政府がやるべき仕事 戦後最悪の国民生活の緊急事態なんです 一方総理は1000万円ものお金をポンと出して自民党議員にはカトログ ギフトを送るでも国民は6.5人に1人が貧困糸島のスーパーに行けば夕方には既にもやしや豆苗 が売り切れの日々なぜか分かりますか安い屋さんしか買えないんです カタログギフト1000万円も送れる総理国民がどんどん貧乏になって いるんですぜひ国民を守っていただきたいぜひお願いいたします国民 の国民への責任ある積極財政ですねぜひガソリン税経由引取税ゼロのための 1.5兆円の財政出動お願いしできないでしょうかはいその前にただいまの奥田君の発言中に 再び不適切な現事があるとの御指摘がありました
[委員長] act: explanation | stance: neutral | importance: medium | text: といたしましてはこれも併せて 御国理事会において即記録を調査の上適切な処置を取ることといたします
[赤澤経産大臣] act: decision | stance: neutral | importance: low | text: ただいまの御質問の中で11兆円を米国に差し出したということはありました神谷代表との質疑の中でわざわざその点は御説明を申し上げて5500億ドルというかつても7月22日に昨年合意をしご視聴ありがとうございましたこの代表との質疑の中でわざわざその点はご説明を申し上げて5500億ドルというかつても7月22日に昨年合意をし9月4日に文書にまとめたその中に含まれておりますので差し出したという事実は今回ございませんそういう意味では充実した審議をやってこられている参議院ですので他のですね委員の�質疑もしっかり聞かれて参考にされて正確な事実に基づく質疑 をいただくことをお願いしたいと思います
[片山さつき] act: decision | stance: positive | importance: low | text: 委員御指摘のガソリンや経由 につきましてはこの国会でも本当に長くできるだけ皆様に安くお 届けできるようにという意味を踏まえて議論が行われてきていわゆる 暫税率の廃止に関する 昨年11月の6等合意履行補助金の拡充によって価格の引き下げを行った上で ガソリンは昨年12月31日に暫定税率が廃止され経由についても4月1日に暫�定税率を廃止する法案を今御審議いただいているところでございます がその上でガソリンや経由にかかる揮発油税や経由引取税の更なの 引きかけについてはまさにその6等合意の場でもそういった議論 がなされたわけですがこれらの税が道路利用による受益者負担 道路損壊等に対する原因者負担といった性格をもともと有している こと国と地方の高級的な税収減ご視聴ありがとうございました受益者負担道路損壊等に対する原因者負担といった性格をもともと有していること国と地方の高級的な税収減が生じてしまうことそれから地球温暖化対策との関係を踏まえる必要があることこういった議論が本当に丁寧になされた上で暫定税率が廃止されたわけでございますから当然さらなるということになると慎重な議論が行われるべきと考えております
[奥田文夫] act: concern | stance: negative | importance: low | text: 御覧ください もう時間ないんですけれども前回伊勢崎議員が出した写真なんですけれども これイランの子どもたちおそらくトマホークを受けて170 人近く亡くなっているんです体が全部吹き飛んで内臓も吹き飛んだ 武器をつくって売るということはたくさんの国の子どもたちの命を 奪うということになるんです武器をつくって売るということは 本当に恐ろしいことなんですこのことをどうしても訴えたかった 令和新選組は今こそ戦争反対そして国民生活最大の緊急事態である ことを認識し消費税は絶対に廃止ガソリン税ゼロ全国民に10万円給付 徹底的に国民へ責任ある積極財政をして個人消費を加速させること が真の防衛政策だと申し上げて質問を終わりにいたします ありがとうございます以上で
[委員長] act: explanation | stance: neutral | importance: low | text: の質疑は終了 いたしましたこれにて総理訪米に関する集中審議は終了いたしました 速記を止めてくださいご視聴ありがとうございました
